Spotify ID,Title,Artist,Album,Release Date,Popularity,tempo,loudness,key,danceability,energy,speechiness,instrumentalness,movie_title,language,year
5fCSInzAbznvDCnpoGYEPR,Nadumu Ompulo,"Rajesh Krishnan, K. S. Chithra",Thirumala Tirupathi Venkatesa,2000-12-21,0,[151.99908088],0.17826033,0.29935592,23.681801543290913,-103.540825,86.00405,0.09739182611778631,Tirumala Tirupati Venkatesa,telugu,2000
6GgPxujmTmcAcBhJY1Wbum,Abbo Na Bandar Laddu,"Sukhwinder Singh, Swarnalatha, Sunitha",Thirumala Tirupathi Venkatesa,2000-12-21,0,[143.5546875],0.14335765,0.3312182,22.720355859583332,-93.54555,69.75393,0.1275360874361553,Tirumala Tirupati Venkatesa,telugu,2000
2724M1EwPYBB8s0J3t0D8R,Yamaho Yama,Tippu,Chirutha,2007-08-21,0,[112.34714674],0.19509682,0.42808157,22.18061241098484,-87.38381,87.03953,0.08752691968118317,Chiru Navvuto,telugu,2000
1us8uUo44iGtZKKZJi8Buy,Love U Raa,"Deepu, Rita Thyagarajan",Chirutha,2007-08-21,0,[184.5703125],0.27478766,0.4636181,22.119039164141522,-79.083885,83.01663,0.08957205391173771,Chiru Navvuto,telugu,2000
693359DlfpvoEfIYleKs05,Endhuko Pichi Pichi,Karunya,Chirutha,2007-08-21,0,[123.046875],0.24650101,0.43039492,21.730984709505076,-51.646667,90.84538,0.08378340876099394,Chiru Navvuto,telugu,2000
4nQTjFHjgznhXpW2j3bu9Y,Chamka Chamka,"Ranjith Govind, Geetha Madhuri",Chirutha,2007-08-21,0,[112.34714674],0.20661075,0.47257537,21.560782389368185,-49.344513,72.62155,0.12881850764077724,Chiru Navvuto,telugu,2000
6B5xvGvHyVjN8HBdAsoWH0,Maro Maro,"Rahul Nambiar, Suchitra",Chirutha,2007-08-21,0,[129.19921875],0.2576368,0.4802116,21.18148733881532,-59.704086,103.45435,0.07707808369134171,Chiru Navvuto,telugu,2000
05YrHIT3ktUKWM0SMwUrkI,Kannethi- Bit,Mallikarjun,Chirutha,2007-08-21,0,[123.046875],0.12048939,0.36273867,25.78806469720436,-204.38374,96.49181,0.06858585930773783,Chiru Navvuto,telugu,2000
0gkvyVZT7lsHCJgwwkGSRn,Ivala,"KK, Sunitha",Chirutha,2007-08-21,0,[129.19921875],0.25571242,0.4574379,22.003585895034714,-40.75708,66.4504,0.11303476936900958,Chiru Navvuto,telugu,2000
7q9jCITcW1whCmv6y3JtFg,Innallu - Bit,Usha,Chirutha,2007-08-21,0,[123.046875],0.11209264,0.3146826,25.493434508935128,-210.22708,90.9899,0.0721050771293543,Chiru Navvuto,telugu,2000
1ifMH14KizpUxIdRVyPsSZ,Niluvaddham,"Karthik, Sumangaly",Nuvvostanante Nenoddantana,2005-01-14,0,[95.703125],0.18974899,0.38560596,23.303535778371682,-109.33468,81.98572,0.0854533750101527,Nuvve Kavali,telugu,2000
4EztIh7yvgYs9YLCvxT8ku,Something Something,Tippu,Nuvvostanante Nenoddantana,2005-01-14,0,[172.265625],0.14168853,0.36175948,23.257467714040004,-111.63362,74.89968,0.12281912604253727,Nuvve Kavali,telugu,2000
69PuGOoNWxd2hM0tsrCa2O,Ghal Ghal,S. P. Balasubrahmanyam,Nuvvostanante Nenoddantana,2005-01-14,0,[135.99917763],0.18099292,0.4026545,23.647308471169044,-115.52261,96.41503,0.07801566529987648,Nuvve Kavali,telugu,2000
